
0.0,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0
0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.0,0.5,1.0,0.0,1.0,0.0,1.0
0.0,1.0,0.0,0.0
0.6666666666666666,0.0,1.0,0.5,0.25,0.0,1.0,0.0,0.0,1.0,0.0
0.3333333333333333,0.7142857142857143,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.4,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.0,0.0
1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.25,0.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
0.0
1.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.6666666666666666,0.0,0.0,1.0,0.3333333333333333,1.0,0.75,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
0.0,0.0,0.0

0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,0.3333333333333333,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0

0.0

0.15384615384615385,0.0,1.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.5,1.0,0.0,1.0,1.0,0.0,0.0
1.0,0.5
0.0,0.125
1.0,1.0,0.25,0.0,1.0,0.0

